"Name","Path","Kind","LinkType","Target","TargetExists","OneDriveBacked","HasSkillMd"
"_archived_skills","C:\Users\DaveWitkin\.opencode-lazy-vault\_archived_skills","realfolder",,,"False","False","False"
".system","C:\Users\DaveWitkin\.opencode-lazy-vault\.system","realfolder",,,"False","False","False"
"agent-writer","C:\Users\DaveWitkin\.opencode-lazy-vault\agent-writer","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\agent-writer","True","True","True"
"calendar-schedule","C:\Users\DaveWitkin\.opencode-lazy-vault\calendar-schedule","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\calendar-schedule","True","True","True"
"calendar-today","C:\Users\DaveWitkin\.opencode-lazy-vault\calendar-today","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\calendar-today","True","True","True"
"clickup","C:\Users\DaveWitkin\.opencode-lazy-vault\clickup","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\clickup","True","True","True"
"clickup-cli","C:\Users\DaveWitkin\.opencode-lazy-vault\clickup-cli","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\clickup-cli","True","True","True"
"codex-primary-runtime","C:\Users\DaveWitkin\.opencode-lazy-vault\codex-primary-runtime","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\codex-primary-runtime","True","True","False"
"command-writer","C:\Users\DaveWitkin\.opencode-lazy-vault\command-writer","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\command-writer","True","True","True"
"conductor","C:\Users\DaveWitkin\.opencode-lazy-vault\conductor","junction","Junction","C:\Users\DaveWitkin\.config\opencode\skill\conductor","True","False","True"
"conductor-pipeline","C:\Users\DaveWitkin\.opencode-lazy-vault\conductor-pipeline","junction","Junction","C:\Users\DaveWitkin\.config\opencode\skill\conductor-pipeline","True","False","True"
"content-trend-researcher","C:\Users\DaveWitkin\.opencode-lazy-vault\content-trend-researcher","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\content-trend-researcher","True","True","True"
"design-system-extractor","C:\Users\DaveWitkin\.opencode-lazy-vault\design-system-extractor","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\design-system-extractor","True","True","True"
"doc","C:\Users\DaveWitkin\.opencode-lazy-vault\doc","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\doc","True","True","True"
"doc-to-markdown","C:\Users\DaveWitkin\.opencode-lazy-vault\doc-to-markdown","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\doc-to-markdown","True","True","True"
"email-attachment-detacher","C:\Users\DaveWitkin\.opencode-lazy-vault\email-attachment-detacher","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\email-attachment-detacher","True","True","True"
"email-auto-sorter","C:\Users\DaveWitkin\.opencode-lazy-vault\email-auto-sorter","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\email-auto-sorter","True","True","True"
"email-draft-reply","C:\Users\DaveWitkin\.opencode-lazy-vault\email-draft-reply","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\email-draft-reply","True","True","True"
"email-routing-config","C:\Users\DaveWitkin\.opencode-lazy-vault\email-routing-config","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\email-routing-config","True","True","True"
"email-to-clickup","C:\Users\DaveWitkin\.opencode-lazy-vault\email-to-clickup","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\email-to-clickup","True","True","True"
"enrich-meeting-notes","C:\Users\DaveWitkin\.opencode-lazy-vault\enrich-meeting-notes","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\enrich-meeting-notes","True","True","True"
"find-info","C:\Users\DaveWitkin\.opencode-lazy-vault\find-info","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\find-info","True","True","True"
"firebase-deployment-specialist","C:\Users\DaveWitkin\.opencode-lazy-vault\firebase-deployment-specialist","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\firebase-deployment-specialist","True","True","True"
"first-principles-mastery","C:\Users\DaveWitkin\.opencode-lazy-vault\first-principles-mastery","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\first-principles-mastery","True","True","True"
"frontend-design","C:\Users\DaveWitkin\.opencode-lazy-vault\frontend-design","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\frontend-design","True","True","True"
"gemini-proxy","C:\Users\DaveWitkin\.opencode-lazy-vault\gemini-proxy","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\gemini-proxy","True","True","True"
"git-push","C:\Users\DaveWitkin\.opencode-lazy-vault\git-push","junction","Junction","C:\Users\DaveWitkin\.config\opencode\skill\git-push","True","False","True"
"github-create-repo","C:\Users\DaveWitkin\.opencode-lazy-vault\github-create-repo","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\github-create-repo","True","True","True"
"github-management","C:\Users\DaveWitkin\.opencode-lazy-vault\github-management","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\github-management","True","True","True"
"gmail-draft-reply","C:\Users\DaveWitkin\.opencode-lazy-vault\gmail-draft-reply","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\gmail-draft-reply","True","True","True"
"gmail-inbox-triage","C:\Users\DaveWitkin\.opencode-lazy-vault\gmail-inbox-triage","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\gmail-inbox-triage","True","True","True"
"gmail-workspace","C:\Users\DaveWitkin\.opencode-lazy-vault\gmail-workspace","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\gmail-workspace","True","True","True"
"google-calendar-schedule","C:\Users\DaveWitkin\.opencode-lazy-vault\google-calendar-schedule","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\google-calendar-schedule","True","True","True"
"google-calendar-today","C:\Users\DaveWitkin\.opencode-lazy-vault\google-calendar-today","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\google-calendar-today","True","True","True"
"google-contacts","C:\Users\DaveWitkin\.opencode-lazy-vault\google-contacts","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\google-contacts","True","True","True"
